# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
3.028328665574945774e-02,9.356859818731004017e-08,1.244166879453225358e-09,1.244166879453225358e-09
3.063483452696084269e-02,9.360100224200959450e-08,1.258609940847676495e-09,1.258609940847676495e-09
3.099046339199428360e-02,9.363341751866592723e-08,1.273220665253670691e-09,1.273220665253670691e-09
3.135022062565115397e-02,9.366584402116527846e-08,1.288000998947703431e-09,1.288000998947703431e-09
3.171415415268998700e-02,9.369828175339535735e-08,1.302952910796870720e-09,1.302952910796870720e-09
3.208231245421077488e-02,9.373073071924515687e-08,1.318078392520975115e-09,1.318078392520974908e-09
3.245474457411330615e-02,9.376319092260500671e-08,1.333379458957659654e-09,1.333379458957659861e-09
3.283150012563047088e-02,9.379566236736665267e-08,1.348858148330617447e-09,1.348858148330617447e-09
3.321262929793748070e-02,9.382814505742311112e-08,1.364516522520905467e-09,1.364516522520905467e-09
3.359818286283781236e-02,9.386063899666877486e-08,1.380356667341404320e-09,1.380356667341404320e-09
3.398821218152668633e-02,9.389314418899938663e-08,1.396380692814448185e-09,1.396380692814448185e-09
3.438276921143310766e-02,9.392566063831206563e-08,1.412590733452675580e-09,1.412590733452675373e-09
3.478190651314130161e-02,9.395818834850522804e-08,1.428988948543125996e-09,1.428988948543125996e-09
3.518567725739262658e-02,9.399072732347869298e-08,1.445577522434632840e-09,1.445577522434632840e-09
3.559413523216860276e-02,9.402327756713357654e-08,1.462358664828535026e-09,1.462358664828535026e-09
3.600733484985620125e-02,9.405583908337238453e-08,1.479334611072753537e-09,1.479334611072753537e-09
3.642533115449637926e-02,9.408841187609895943e-08,1.496507622459275564e-09,1.496507622459275564e-09
3.684817982911676310e-02,9.412099594921852020e-08,1.513879986525078875e-09,1.513879986525078875e-09
3.727593720314940212e-02,9.415359130663759600e-08,1.531454017356535530e-09,1.531454017356535530e-09
3.770866025993455800e-02,9.418619795226407923e-08,1.549232055897335650e-09,1.549232055897335650e-09
3.814640664431177830e-02,9.421881589000729163e-08,1.567216470259976956e-09,1.567216470259977163e-09
3.858923467029903159e-02,9.425144512377774609e-08,1.585409656040856483e-09,1.585409656040856483e-09
3.903720332886090327e-02,9.428408565748747752e-08,1.603814036638999810e-09,1.603814036639000016e-09
3.949037229576701780e-02,9.431673749504979137e-08,1.622432063578480343e-09,1.622432063578480343e-09
3.994880193954170045e-02,9.434940064037934304e-08,1.641266216834562369e-09,1.641266216834562369e-09
4.041255332950600271e-02,9.438207509739219084e-08,1.660319005163619762e-09,1.660319005163619969e-09
4.088168824391291700e-02,9.441476087000571658e-08,1.679592966436859730e-09,1.679592966436859730e-09
4.135626917817709913e-02,9.444745796213859906e-08,1.699090667977903287e-09,1.699090667977903494e-09
4.183635935320019483e-02,9.448016637771106559e-08,1.718814706904271258e-09,1.718814706904271258e-09
4.232202272379275571e-02,9.451288612064445520e-08,1.738767710472809943e-09,1.738767710472810149e-09
4.281332398719393806e-02,9.454561719486165539e-08,1.758952336429107506e-09,1.758952336429107506e-09
4.331032859169001159e-02,9.457835960428682423e-08,1.779371273360939777e-09,1.779371273360939777e-09
4.381310274533305876e-02,9.461111335284549621e-08,1.800027241055803559e-09,1.800027241055803559e-09
4.432171342476085713e-02,9.464387844446452930e-08,1.820922990862573847e-09,1.820922990862573847e-09
4.483622838411908257e-02,9.467665488307222409e-08,1.842061306057331488e-09,1.842061306057331488e-09
4.535671616408706863e-02,9.470944267259817818e-08,1.863445002213410694e-09,1.863445002213410694e-09
4.588324610100844719e-02,9.474224181697336559e-08,1.885076927575718956e-09,1.885076927575718956e-09
4.641588833612777382e-02,9.477505232013012356e-08,1.906959963439373588e-09,1.906959963439373588e-09
4.695471382493428270e-02,9.480787418600213925e-08,1.929097024532696897e-09,1.929097024532696897e-09
4.749979434661412425e-02,9.484070741852447629e-08,1.951491059404629326e-09,1.951491059404629326e-09
4.805120251361241768e-02,9.487355202163357471e-08,1.974145050816607927e-09,1.974145050816607927e-09
4.860901178130630496e-02,9.490640799926721126e-08,1.997062016138960815e-09,1.997062016138960815e-09
4.917329645779018599e-02,9.493927535536451268e-08,2.020245007751859404e-09,2.020245007751859817e-09
4.974413171377456422e-02,9.497215409386602182e-08,2.043697113450890430e-09,2.043697113450890844e-09
5.032159359259993220e-02,9.500504421871361826e-08,2.067421456857299493e-09,2.067421456857299493e-09
5.090575902036681422e-02,9.503794573385053153e-08,2.091421197832951167e-09,2.091421197832951581e-09
5.149670581618340931e-02,9.507085864322135436e-08,2.115699532900063608e-09,2.115699532900063608e-09
5.209451270253211835e-02,9.510378295077209561e-08,2.140259695665763550e-09,2.140259695665763550e-09
5.269925931575656503e-02,9.513671866045007442e-08,2.165104957251532012e-09,2.165104957251532426e-09
5.331102621667032498e-02,9.516966577620403925e-08,2.190238626727578758e-09,2.190238626727578345e-09
5.392989490128873020e-02,9.520262430198399592e-08,2.215664051552205068e-09,2.215664051552205068e-09
5.455594781168519869e-02,9.523559424174145900e-08,2.241384618016209828e-09,2.241384618016209828e-09
5.518926834697379658e-02,9.526857559942918715e-08,2.267403751692403472e-09,2.267403751692403472e-09
5.582994087441919828e-02,9.530156837900139486e-08,2.293724917890273586e-09,2.293724917890273586e-09
5.647805074067554360e-02,9.533457258441363335e-08,2.320351622115865488e-09,2.320351622115865901e-09
5.713368428315579450e-02,9.536758821962280380e-08,2.347287410536931941e-09,2.347287410536932354e-09
5.779692884153313226e-02,9.540061528858721029e-08,2.374535870453417769e-09,2.374535870453418183e-09
5.846787276937589345e-02,9.543365379526649362e-08,2.402100630773329833e-09,2.402100630773329833e-09
5.914660544591748836e-02,9.546670374362175043e-08,2.429985362494054403e-09,2.429985362494054403e-09
