# k[1/Mpc], P(xi+0.03)/P_LCDM, P(xi-0.03)/P_LCDM
2.499991295955309237e-02,1.000603222963831085e+00,9.986687214997589379e-01
2.572229020645684650e-02,9.997729953321339291e-01,9.994620159755407407e-01
2.646554068150696812e-02,9.989962276744505099e-01,1.000209407496124081e+00
2.723026752060665051e-02,9.982719900202876584e-01,1.000909650149314656e+00
2.801709128738588336e-02,9.976022148712950788e-01,1.001560468431298201e+00
2.882665047677894499e-02,9.969925082522608228e-01,1.002154398283603198e+00
2.965960203315286259e-02,9.964569276701196188e-01,1.002680623132342408e+00
3.051662188340728901e-02,9.960283382264449870e-01,1.003111478143009716e+00
3.139840548547838395e-02,9.957184510595813443e-01,1.003437365326973474e+00
3.230566839269184004e-02,9.955313377344826575e-01,1.003653370620946061e+00
3.323914683442300011e-02,9.954014306766079123e-01,1.003804311606742772e+00
3.419959831353523716e-02,9.953023642693873407e-01,1.003923967337988277e+00
3.518780222108145589e-02,9.952293236923430708e-01,1.004018882621979802e+00
3.620456046876748685e-02,9.951991579332011284e-01,1.004080832514528066e+00
3.725069813969064669e-02,9.952204332188191449e-01,1.004099007238429042e+00
3.832706415788151438e-02,9.952846807251284345e-01,1.004073453479665812e+00
3.943453197719223174e-02,9.953223341072849895e-01,1.004054886765851418e+00
4.057400029009036041e-02,9.953065584462006399e-01,1.004078132764535169e+00
4.174639375693350862e-02,9.952178723966691454e-01,1.004163707845349363e+00
4.295266375631644207e-02,9.950330675071930031e-01,1.004335382649571784e+00
4.419378915709964301e-02,9.947318773675127845e-01,1.004612164988545331e+00
4.547077711274575412e-02,9.942802671015797955e-01,1.005023747218524832e+00
4.678466387860858583e-02,9.936539046964641964e-01,1.005596706121776762e+00
4.813651565283775385e-02,9.928539067971432486e-01,1.006339486604317823e+00
4.952742944158151223e-02,9.918762168589109196e-01,1.007250895653842182e+00
5.095853394918972712e-02,9.907396029653369185e-01,1.008322207154182859e+00
5.243099049413943447e-02,9.894619154363663016e-01,1.009527582731795770e+00
5.394599395142628262e-02,9.880801190209970164e-01,1.010843258857576865e+00
5.550477372218650535e-02,9.866299759741783415e-01,1.012225332366875952e+00
5.710859473133635122e-02,9.851591819550836737e-01,1.013639280767189899e+00
5.875875845403846082e-02,9.837075188980367590e-01,1.015041809212338775e+00
6.045660397182819890e-02,9.823540707914297787e-01,1.016371530996488470e+00
6.220350905925696450e-02,9.811678751485660710e-01,1.017561234798395997e+00
6.400089130193424569e-02,9.802748537619275782e-01,1.018497452932025649e+00
6.585020924687576271e-02,9.797449898153511860e-01,1.019099054633660684e+00
6.775296358609105007e-02,9.796440519461496743e-01,1.019297106285938392e+00
6.971069837437110506e-02,9.799847337890256194e-01,1.019055025903130129e+00
7.172500228226423580e-02,9.806566395692154492e-01,1.018477759112967229e+00
7.379750988525685118e-02,9.815510306425532239e-01,1.017648129635865262e+00
7.592990299020536960e-02,9.824825102694448864e-01,1.016769905230292981e+00
7.812391200009570491e-02,9.832967455406631530e-01,1.015976288256773774e+00
8.038131731823761061e-02,9.838589436905775809e-01,1.015410862297686734e+00
8.270395079303365093e-02,9.840339419013294231e-01,1.015194965279188510e+00
8.509369720449487529e-02,9.837208673773438772e-01,1.015423893207850758e+00
8.755249579370977253e-02,9.828500116748987159e-01,1.016179433709775370e+00
9.008234183650747073e-02,9.814578944832202945e-01,1.017438292724063276e+00
9.268528826259223030e-02,9.796614324953981656e-01,1.019123665058771389e+00
9.536344732146316561e-02,9.776396163414502460e-01,1.021063765794042233e+00
9.811899229647098875e-02,9.756158651280203431e-01,1.023048042430319882e+00
1.009541592684027461e-01,9.738455977224744764e-01,1.024848987092454200e+00
1.038712489300259723e-01,9.726300908721990934e-01,1.026187018525051009e+00
1.068726284530635701e-01,9.722606841492555940e-01,1.026742600315855958e+00
1.099607334091167177e-01,9.728306317528699898e-01,1.026351855201989238e+00
1.131380697460914464e-01,9.740989175012447765e-01,1.025206894904498123e+00
1.164072158217363678e-01,9.756177181587376568e-01,1.023753760263209633e+00
1.197708244959378582e-01,9.769585438873638061e-01,1.022424082542477075e+00
1.232316252834745329e-01,9.777586442645348486e-01,1.021551211861009500e+00
1.267924265689739094e-01,9.776660252954211261e-01,1.021462546806324978e+00
1.304561178858728299e-01,9.764959880302842565e-01,1.022408114692013203e+00
1.342256722612265585e-01,9.744878593257574328e-01,1.024271235923771117e+00
1.381041486282740816e-01,9.722076157568182442e-01,1.026521168340317258e+00
1.420946943087123548e-01,9.702225639600399187e-01,1.028562201995913750e+00
1.462005475666988408e-01,9.690196838444476990e-01,1.029926026736372791e+00
1.504250402366500705e-01,9.689656111513849090e-01,1.030224850432119199e+00
1.547716004269732992e-01,9.699962440280287534e-01,1.029396145657145878e+00
1.592437553019205587e-01,9.715510374456141074e-01,1.027920724961794763e+00
1.638451339438274090e-01,9.728888102759613021e-01,1.026526076711578028e+00
1.685794702980541460e-01,9.732339376927535701e-01,1.025962243079093339e+00
1.734506062030241047e-01,9.721970381963648267e-01,1.026738357203961449e+00
1.784624945078130409e-01,9.703247996811172893e-01,1.028527759652497764e+00
1.836192022798242840e-01,9.684561976971699515e-01,1.030426654227132977e+00
1.889249141051478065e-01,9.671912921606095059e-01,1.031832560010222055e+00
1.943839354842865075e-01,9.671577332616453360e-01,1.032150111523034264e+00
2.000006963259995663e-01,9.682116743061215391e-01,1.031249882607948143e+00
2.057797545421043983e-01,9.693109737111279545e-01,1.030102748486878772e+00
2.117257997461477748e-01,9.696984521668219337e-01,1.029569297358259305e+00
2.178436570589539489e-01,9.689318566120205256e-01,1.030108219150374760e+00
2.241382910241316584e-01,9.673972567478466011e-01,1.031572579968172310e+00
2.306148096367237055e-01,9.661928285246049741e-01,1.032912647314087273e+00
2.372784684882617290e-01,9.658751522460721217e-01,1.033410882416788246e+00
2.441346750315966929e-01,9.664341670343008506e-01,1.032995404417418994e+00
2.511889929689586354e-01,9.670635099667822532e-01,1.032318975201244049e+00
2.584471467668144617e-01,9.670001656159433745e-01,1.032237123228840758e+00
2.659150263011788584e-01,9.661261007516405153e-01,1.032984905801558773e+00
2.735986916371569433e-01,9.651862974085501090e-01,1.034006812052142843e+00
2.815043779465883356e-01,9.648402069942335624e-01,1.034464162769119788e+00
2.896385005677915569e-01,9.650950802293968289e-01,1.034330279549892984e+00
2.980076602115069306e-01,9.652895239009007256e-01,1.034049679817948819e+00
3.066186483172698707e-01,9.649889744928511481e-01,1.034285463835390884e+00
3.154784525645537019e-01,9.642985665350712887e-01,1.034932972283985286e+00
3.245942625431623707e-01,9.639421607070995934e-01,1.035401222990703030e+00
3.339734755874653183e-01,9.639083819519821406e-01,1.035489735481325502e+00
3.436237027792189980e-01,9.639385577674202121e-01,1.035427614015514974e+00
3.535527751238355942e-01,9.636277556411004808e-01,1.035705304501698398e+00
