# a, rho_de(8piGrho), cdm_code(8piGrho_a4), cdm_analytic
3.028328665574945774e-02,1.154138537381762564e-07,1.181222301331474675e-09,1.181222301331474675e-09
3.063483452696084269e-02,1.153738982169741452e-07,1.194934724215352379e-09,1.194934724215352379e-09
3.099046339199428360e-02,1.153339565281120905e-07,1.208806331346359360e-09,1.208806331346359360e-09
3.135022062565115397e-02,1.152940286668014577e-07,1.222838970713671426e-09,1.222838970713671219e-09
3.171415415268998700e-02,1.152541146282552136e-07,1.237034511762676026e-09,1.237034511762676026e-09
3.208231245421077488e-02,1.152142144076880192e-07,1.251394845644219771e-09,1.251394845644219771e-09
3.245474457411330615e-02,1.151743280003162426e-07,1.265921885466751684e-09,1.265921885466751684e-09
3.283150012563047088e-02,1.151344554013577476e-07,1.280617566551403583e-09,1.280617566551403583e-09
3.321262929793748070e-02,1.150945966060321581e-07,1.295483846690042925e-09,1.295483846690042718e-09
3.359818286283781236e-02,1.150547516095608319e-07,1.310522706406328320e-09,1.310522706406328320e-09
3.398821218152668633e-02,1.150149204071665826e-07,1.325736149219804929e-09,1.325736149219804929e-09
3.438276921143310766e-02,1.149751029940741032e-07,1.341126201913074295e-09,1.341126201913074295e-09
3.478190651314130161e-02,1.149352993655095556e-07,1.356694914802076226e-09,1.356694914802076226e-09
3.518567725739262658e-02,1.148955095167008753e-07,1.372444362009525338e-09,1.372444362009525131e-09
3.559413523216860276e-02,1.148557334428775463e-07,1.388376641741523150e-09,1.388376641741523150e-09
3.600733484985620125e-02,1.148159711392708128e-07,1.404493876567398457e-09,1.404493876567398457e-09
3.642533115449637926e-02,1.147762226011134543e-07,1.420798213702808234e-09,1.420798213702808234e-09
3.684817982911676310e-02,1.147364878236400237e-07,1.437291825296140244e-09,1.437291825296140244e-09
3.727593720314940212e-02,1.146967668020866224e-07,1.453976908718249587e-09,1.453976908718249587e-09
3.770866025993455800e-02,1.146570595316910591e-07,1.470855686855572635e-09,1.470855686855572635e-09
3.814640664431177830e-02,1.146173660076927573e-07,1.487930408406663628e-09,1.487930408406663628e-09
3.858923467029903159e-02,1.145776862253328211e-07,1.505203348182186816e-09,1.505203348182186816e-09
3.903720332886090327e-02,1.145380201798540090e-07,1.522676807408405520e-09,1.522676807408405520e-09
3.949037229576701780e-02,1.144983678665006282e-07,1.540353114034211711e-09,1.540353114034211711e-09
3.994880193954170045e-02,1.144587292805187856e-07,1.558234623041739370e-09,1.558234623041739164e-09
4.041255332950600271e-02,1.144191044171560706e-07,1.576323716760604403e-09,1.576323716760604196e-09
4.088168824391291700e-02,1.143794932716618855e-07,1.594622805185806691e-09,1.594622805185806691e-09
4.135626917817709913e-02,1.143398958392871550e-07,1.613134326299344948e-09,1.613134326299344948e-09
4.183635935320019483e-02,1.143003121152844974e-07,1.631860746395589038e-09,1.631860746395589038e-09
4.232202272379275571e-02,1.142607420949081594e-07,1.650804560410450300e-09,1.650804560410450300e-09
4.281332398719393806e-02,1.142211857734140153e-07,1.669968292254397635e-09,1.669968292254397428e-09
4.331032859169001159e-02,1.141816431460596598e-07,1.689354495149358656e-09,1.689354495149358863e-09
4.381310274533305876e-02,1.141421142081041836e-07,1.708965751969565876e-09,1.708965751969565876e-09
4.432171342476085713e-02,1.141025989548084900e-07,1.728804675586382657e-09,1.728804675586382657e-09
4.483622838411908257e-02,1.140630973814349916e-07,1.748873909217160017e-09,1.748873909217160017e-09
4.535671616408706863e-02,1.140236094832478344e-07,1.769176126778171025e-09,1.769176126778171025e-09
4.588324610100844719e-02,1.139841352555126735e-07,1.789714033241677164e-09,1.789714033241677164e-09
4.641588833612777382e-02,1.139446746934969900e-07,1.810490364997173000e-09,1.810490364997173000e-09
4.695471382493428270e-02,1.139052277924697081e-07,1.831507890216853386e-09,1.831507890216853179e-09
4.749979434661412425e-02,1.138657945477015515e-07,1.852769409225359482e-09,1.852769409225359275e-09
4.805120251361241768e-02,1.138263749544647661e-07,1.874277754873858567e-09,1.874277754873858567e-09
4.860901178130630496e-02,1.137869690080333317e-07,1.896035792918505023e-09,1.896035792918505023e-09
4.917329645779018599e-02,1.137475767036827500e-07,1.918046422403330448e-09,1.918046422403330448e-09
4.974413171377456422e-02,1.137081980366902827e-07,1.940312576047622061e-09,1.940312576047622061e-09
5.032159359259993220e-02,1.136688330023347140e-07,1.962837220637849558e-09,1.962837220637849558e-09
5.090575902036681422e-02,1.136294815958965878e-07,1.985623357424182827e-09,1.985623357424182827e-09
5.149670581618340931e-02,1.135901438126578647e-07,2.008674022521662550e-09,2.008674022521662550e-09
5.209451270253211835e-02,1.135508196479024504e-07,2.031992287316076635e-09,2.031992287316076221e-09
5.269925931575656503e-02,1.135115090969156403e-07,2.055581258874606588e-09,2.055581258874606588e-09
5.331102621667032498e-02,1.134722121549844374e-07,2.079444080361299241e-09,2.079444080361299241e-09
5.392989490128873020e-02,1.134329288173974458e-07,2.103583931457412644e-09,2.103583931457413058e-09
5.455594781168519869e-02,1.133936590794449505e-07,2.128004028786704356e-09,2.128004028786704356e-09
5.518926834697379658e-02,1.133544029364189044e-07,2.152707626345728322e-09,2.152707626345728322e-09
5.582994087441919828e-02,1.133151603836127554e-07,2.177698015939190778e-09,2.177698015939190778e-09
5.647805074067554360e-02,1.132759314163217253e-07,2.202978527620427656e-09,2.202978527620427656e-09
5.713368428315579450e-02,1.132367160298425181e-07,2.228552530137070881e-09,2.228552530137070881e-09
5.779692884153313226e-02,1.131975142194736113e-07,2.254423431381968100e-09,2.254423431381968100e-09
5.846787276937589345e-02,1.131583259805149910e-07,2.280594678849417455e-09,2.280594678849417455e-09
